Term,Definition,L1_Category,L2_Subcategory,Resource_Type,Priority
Imprisonment,Custodial sentence served in provincial or federal facility,JUSTICE,Corrections,Concept,Core
Indictable Offence,Serious offence with higher max sentence; trial options vary,JUSTICE,Charges,Concept,Core
Information (Criminal),Formal document laying a criminal charge; basis for arrest warrant (not POA),JUSTICE,Charges,Concept,Core
Judicial Interim Release,Bail; release order pending trial or appeal with conditions,JUSTICE,Bail,Concept,Core
Justice of the Peace (JP),Judicial officer who may issue warrants and conduct bail hearings,JUSTICE,Court,Role,Core
Preliminary Hearing,Pre-trial hearing to determine if there is enough evidence to proceed,JUSTICE,Court,Process,Core
Pre-trial Detention,Custody after arrest while awaiting bail hearing or trial,JUSTICE,Policing,Concept,Core
Provincial Custody,Sentence under two years served in Ontario correctional facility,JUSTICE,Corrections,Concept,Core
Recognizance,Promise to appear and comply with conditions; form of release,JUSTICE,Bail,Concept,Core
Release Order,Current term for bail; court order releasing accused with conditions,JUSTICE,Bail,Concept,Core
Remand,Detention in custody while awaiting next court date or trial,JUSTICE,Corrections,Concept,Core
Remand Centre,Provincial facility holding accused in custody awaiting trial or sentencing,JUSTICE,Corrections,Concept,Core
Sentence,Penalty imposed by court on conviction (e.g. imprisonment fine probation),JUSTICE,Corrections,Concept,Core
Sentencing,Court proceeding where sentence is imposed after conviction,JUSTICE,Court,Process,Core
Show Cause Hearing,Bail hearing; Crown or accused shows why accused should be detained or released,JUSTICE,Bail,Concept,Core
Summary Offence,Less serious offence; max 2 years jail or $5000 fine; no jury trial,JUSTICE,Charges,Concept,Core
Surety,Person who promises to supervise accused and may pledge money for release,JUSTICE,Bail,Role,Core
Undertaking,Accused promise to appear in court and comply with conditions,JUSTICE,Charges,Concept,Core
Warrant of Remand,Order authorizing continued detention until next court date,JUSTICE,Corrections,Concept,Core
Search Warrant,Court order authorizing police to search a place for evidence,JUSTICE,Policing,Concept,Core
CSPA (Community Safety and Policing Act),Ontario law setting police service standards and core functions,JUSTICE,Public Safety,Framework,Core
SOLGEN (Ministry of Solicitor General),Ontario ministry for policing corrections and public safety,JUSTICE,Public Safety,Concept,Core
Correctional Officer (CO),Staff in provincial facility ensuring security and custody of persons in custody,JUSTICE,Corrections,Role,Core
CSOI (Corrections Oversight),SOLGEN body for oversight and investigations in correctional services,JUSTICE,Corrections,Concept,Core
OPP (Ontario Provincial Police),Provincial police service for Ontario; overseen by SOLGEN,JUSTICE,Policing,Concept,Core
Ontario Parole Board (OPB),Board deciding parole for provincial sentences under two years,JUSTICE,Corrections,Concept,Core
Parole,Conditional release from institution into community under supervision,JUSTICE,Corrections,Concept,Core
Person in Custody,Individual held in provincial correctional facility (remand or sentenced),JUSTICE,Corrections,Concept,Core
PPO (Probation and Parole Officer),Officer supervising probationers and parolees in the community,JUSTICE,Corrections,Role,Core
Probation,Court-ordered community supervision; max three years in Ontario,JUSTICE,Corrections,Concept,Core
Act,Law passed by Parliament or legislature; primary legislation (e.g. Criminal Code),JUSTICE,Court,Concept,Core
Certificate of Offence,POA document laying a provincial offence; Part I ticket or Part II parking,JUSTICE,Charges,Concept,Core
Charge Package,Crown and police disclosure materials supporting the prosecution (disclosure package),JUSTICE,Charges,Concept,Core
Correctional Centre,Ontario facility for sentenced offenders 60 days to two years less a day,JUSTICE,Corrections,Concept,Core
Detention Centre,Ontario regional facility for remand and short sentences (approx 60 days or less),JUSTICE,Corrections,Concept,Core
Jail,Ontario smaller facility for remand short sentences and transfers; often historic,JUSTICE,Corrections,Concept,Core
POA (Provincial Offences Act),Ontario statute governing provincial offences and set fines,JUSTICE,Court,Framework,Core
Regulation,Subordinate law made under authority of an Act; has force of law,JUSTICE,Court,Concept,Core
Set Fines,Preset penalty amounts for provincial offences under POA; can be paid without trial,JUSTICE,Court,Concept,Core
Statute,Written law enacted by legislature; often used interchangeably with Act,JUSTICE,Court,Concept,Core
Treatment Centre,Ontario facility for specialized treatment (e.g. substance abuse sexual harm),JUSTICE,Corrections,Concept,Core
